[test_data/solomon/c101.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1511.75
[INFO] Cost func = 1511.75
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
1;4;45;2180;2180;2270;6.40312;22.3607
1;4;51;2275;2275;2365;5;25
1;4;50;2367;2367;2457;2.23607;22.8035
1;4;52;2460;2460;2550;3.16228;21.2132
1;4;47;2555;2555;2645;5;18.0278
1;4;42;2649;2649;2739;4.24264;19.3132
1;4;41;2741;2741;2831;2;18.6815
1;4;43;2834;2834;2924;3.60555;16.5529
1;4;48;2929;2929;3019;5.83095;10.7703
2;5;20;10;10;100;10;10
2;5;22;102;102;192;2.82843;12.1655
2;5;24;195;195;285;3.60555;15
2;5;27;287;287;377;2.82843;17.1172
2;5;30;381;381;471;4.24264;20.6155
2;5;29;476;476;566;5;20
2;5;6;574;574;664;8.94427;25.2982
2;5;32;670;670;760;6.32456;31.6228
2;5;33;762;762;852;2;33.5261
2;5;31;857;857;947;5.38516;33.541
2;5;35;952;952;1042;5;38.0789
2;5;37;1047;1047;1137;5.83095;39.2938
2;5;38;1139;1139;1229;2;41.2311
2;5;39;1234;1234;1324;5;40.3113
2;5;36;1329;1329;1419;5;35.3553
2;5;34;1422;1422;1512;3;32.3883
2;5;28;1522;1522;1612;10.7703;36.3456
2;5;26;1620;1620;1710;8.06226;34.176
2;5;23;1717;1717;1807;7.2111;30.5287
2;5;18;1816;1816;1906;9.05539;35.3553
2;5;19;1911;1911;2001;5;39.0513
2;5;16;2008;2008;2098;7.07107;40.3113
2;5;14;2100;2100;2190;2;39.3573
2;5;12;2193;2193;2283;3;38.0789
2;5;15;2290;2290;2380;7.07107;36.0555
2;5;17;2385;2385;2475;5.38516;33.3017
2;5;13;2479;2479;2569;4;30.8058
2;5;25;2578;2578;2668;9;24.0832
2;5;9;2675;2675;2765;7.2111;23.3238
2;5;11;2772;2772;2862;7.07107;19.6469
2;5;10;2865;2865;2955;3;16.763
2;5;8;2961;2961;3051;6.08276;11.6619
2;5;21;3056;3056;3146;5.65685;11.6619
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 588.493
[INFO] Cost func = 588.493
[DEBUG]  SOLUTION: 588.493 | 0 | {0, 0}
[test_data/solomon/c207.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1014.18
[INFO] Cost func = 1014.18
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;2;93;8;8;98;8.24621;8.24621
0;2;5;105;105;195;7;15.1327
0;2;75;198;198;288;3;15.8114
0;2;2;293;293;383;5;20.6155
0;2;1;391;391;481;8.60233;27.7309
0;2;99;486;486;576;5.83095;33.541
0;2;100;581;581;671;5;38.0789
0;2;97;676;676;766;5;40.3113
0;2;92;773;773;863;7;44.2041
0;2;94;866;866;956;3.60555;40.6079
0;2;95;959;959;1049;3.60555;37.2022
0;2;98;1055;1055;1145;6.40312;30.8058
0;2;7;1150;1150;1240;5;26.9073
0;2;3;1244;1244;1334;4.12311;29.0689
0;2;4;1337;1337;1427;3.60555;25.6125
0;2;89;1431;1431;1521;4.47214;21.2603
0;2;91;1526;1526;1616;5.65685;22.3607
0;2;88;1621;1621;1711;5;26.9258
0;2;86;1716;1716;1806;5.09902;26.4764
0;2;84;1811;1811;1901;5;31.0483
0;2;83;1904;1904;1994;3.60555;32.3883
0;2;82;1997;1997;2087;3;35.3553
0;2;85;2101;2101;2191;14.2127;46.1736
0;2;76;2202;2202;2292;11.7047;52.2015
0;2;71;2297;2297;2387;5;57.0088
0;2;70;2392;2392;2482;5;58.5235
0;2;73;2485;2485;2575;3;55.7135
0;2;80;2583;2583;2673;8.60233;51.4781
0;2;79;2678;2678;2768;5.38516;51.0784
0;2;81;2773;2773;2863;5.38516;47.4342
0;2;78;2871;2871;2961;8.60233;39.2938
0;2;77;2968;2968;3058;7.81025;32.3883
0;2;96;3069;3069;3159;11.1803;24.1661
0;2;87;3165;3165;3255;6.32456;24.3311
0;2;90;3264;3264;3354;9.84886;20.6155
1;3;20;10;10;100;10;10
1;3;22;102;102;192;2.82843;12.1655
1;3;24;195;195;285;3.60555;15
1;3;27;287;287;377;2.82843;17.1172
1;3;30;381;381;471;4.24264;20.6155
1;3;29;476;476;566;5;20
1;3;6;574;574;664;8.94427;25.2982
1;3;32;670;670;760;6.32456;31.6228
1;3;33;762;762;852;2;33.5261
1;3;31;857;857;947;5.38516;33.541
1;3;35;952;952;1042;5;38.0789
1;3;37;1047;1047;1137;5.83095;39.2938
1;3;38;1139;1139;1229;2;41.2311
1;3;39;1234;1234;1324;5;40.3113
1;3;36;1329;1329;1419;5;35.3553
1;3;34;1422;1422;1512;3;32.3883
1;3;28;1522;1522;1612;10.7703;36.3456
1;3;26;1620;1620;1710;8.06226;34.176
1;3;23;1717;1717;1807;7.2111;30.5287
1;3;17;1816;1895;1985;9.84886;33.3017
1;3;18;1988;1988;2078;3;35.3553
1;3;19;2083;2083;2173;5;39.0513
1;3;16;2180;2180;2270;7.07107;40.3113
1;3;14;2272;2272;2362;2;39.3573
1;3;12;2365;2365;2455;3;38.0789
1;3;15;2462;2462;2552;7.07107;36.0555
1;3;13;2557;2557;2647;5.38516;30.8058
1;3;25;2656;2656;2746;9;24.0832
1;3;9;2753;2753;2843;7.2111;23.3238
1;3;11;2850;2850;2940;7.07107;19.6469
1;3;10;2943;2943;3033;3;16.763
1;3;8;3039;3039;3129;6.08276;11.6619
1;3;21;3134;3134;3224;5.65685;11.6619
2;12;67;12;12;102;12.2066;12.2066
2;12;63;105;105;195;3;14.1421
2;12;62;200;200;290;5;18.0278
2;12;74;293;293;383;3;19.8494
2;12;72;388;388;478;5;23.8537
2;12;61;481;481;571;3;22.3607
2;12;64;573;573;663;2;21.5407
2;12;66;668;668;758;5.09902;16.5529
2;12;69;760;760;850;2;15.8114
2;12;68;855;855;945;5.83095;20.0998
2;12;65;950;950;1040;5.38516;25.318
2;12;49;1046;1046;1136;6.40312;31.0483
2;12;55;1143;1143;1233;7.81025;35.0571
2;12;54;1238;1238;1328;5;40.05
2;12;53;1333;1333;1423;5.38516;45.1774
2;12;56;1427;1427;1517;4;45
2;12;58;1519;1519;1609;2;45.0444
2;12;60;1612;1612;1702;3;45.2769
2;12;59;1707;1707;1797;5.83095;40.05
2;12;57;1802;1802;1892;5;35.0571
2;12;40;1895;1895;1985;3.60555;32.249
2;12;44;1989;1989;2079;4.47214;31.0483
2;12;46;2084;2084;2174;5.38516;25.7099
2;12;45;2180;2180;2270;6.40312;22.3607
2;12;51;2275;2275;2365;5;25
2;12;50;2367;2367;2457;2.23607;22.8035
2;12;52;2460;2460;2550;3.16228;21.2132
2;12;47;2555;2555;2645;5;18.0278
2;12;42;2649;2649;2739;4.24264;19.3132
2;12;41;2741;2741;2831;2;18.6815
2;12;43;2834;2834;2924;3.60555;16.5529
2;12;48;2929;2929;3019;5.83095;10.7703
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 588.286
[INFO] Cost func = 588.286
[DEBUG]  SOLUTION: 588.286 | 0 | {0, 0}
[test_data/solomon/c208.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1034.58
[INFO] Cost func = 1034.58
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;2;67;12;12;102;12.2066;12.2066
0;2;63;105;105;195;3;14.1421
0;2;62;200;200;290;5;18.0278
0;2;74;293;293;383;3;19.8494
0;2;72;388;388;478;5;23.8537
0;2;61;481;481;571;3;22.3607
0;2;64;573;573;663;2;21.5407
0;2;66;668;668;758;5.09902;16.5529
0;2;69;760;760;850;2;15.8114
0;2;68;855;855;945;5.83095;20.0998
0;2;65;950;950;1040;5.38516;25.318
0;2;49;1046;1046;1136;6.40312;31.0483
0;2;55;1143;1143;1233;7.81025;35.0571
0;2;54;1238;1238;1328;5;40.05
0;2;53;1333;1333;1423;5.38516;45.1774
0;2;56;1427;1427;1517;4;45
0;2;58;1519;1519;1609;2;45.0444
0;2;60;1612;1612;1702;3;45.2769
0;2;59;1707;1707;1797;5.83095;40.05
0;2;57;1802;1802;1892;5;35.0571
0;2;40;1895;1895;1985;3.60555;32.249
0;2;44;1989;1989;2079;4.47214;31.0483
0;2;46;2084;2084;2174;5.38516;25.7099
0;2;45;2180;2180;2270;6.40312;22.3607
0;2;51;2275;2275;2365;5;25
0;2;50;2367;2367;2457;2.23607;22.8035
0;2;52;2460;2460;2550;3.16228;21.2132
0;2;47;2555;2555;2645;5;18.0278
0;2;42;2649;2649;2739;4.24264;19.3132
0;2;41;2741;2741;2831;2;18.6815
0;2;43;2834;2834;2924;3.60555;16.5529
0;2;48;2929;2929;3019;5.83095;10.7703
1;4;93;8;8;98;8.24621;8.24621
1;4;5;105;105;195;7;15.1327
1;4;75;198;198;288;3;15.8114
1;4;2;293;293;383;5;20.6155
1;4;1;391;391;481;8.60233;27.7309
1;4;99;486;486;576;5.83095;33.541
1;4;100;581;581;671;5;38.0789
1;4;97;676;676;766;5;40.3113
1;4;92;773;773;863;7;44.2041
1;4;94;866;866;956;3.60555;40.6079
1;4;95;959;959;1049;3.60555;37.2022
1;4;98;1055;1055;1145;6.40312;30.8058
1;4;7;1150;1150;1240;5;26.9073
1;4;3;1244;1244;1334;4.12311;29.0689
1;4;4;1337;1337;1427;3.60555;25.6125
1;4;89;1431;1431;1521;4.47214;21.2603
1;4;91;1526;1526;1616;5.65685;22.3607
1;4;88;1621;1621;1711;5;26.9258
1;4;86;1716;1716;1806;5.09902;26.4764
1;4;84;1811;1811;1901;5;31.0483
1;4;83;1904;1904;1994;3.60555;32.3883
1;4;82;1997;1997;2087;3;35.3553
1;4;85;2101;2101;2191;14.2127;46.1736
1;4;76;2202;2202;2292;11.7047;52.2015
1;4;71;2297;2297;2387;5;57.0088
1;4;70;2392;2392;2482;5;58.5235
1;4;73;2485;2485;2575;3;55.7135
1;4;80;2583;2583;2673;8.60233;51.4781
1;4;79;2678;2678;2768;5.38516;51.0784
1;4;81;2773;2773;2863;5.38516;47.4342
1;4;78;2871;2871;2961;8.60233;39.2938
1;4;77;2968;2968;3058;7.81025;32.3883
1;4;96;3069;3069;3159;11.1803;24.1661
1;4;87;3165;3165;3255;6.32456;24.3311
1;4;90;3264;3264;3354;9.84886;20.6155
2;5;20;10;10;100;10;10
2;5;22;102;102;192;2.82843;12.1655
2;5;24;195;195;285;3.60555;15
2;5;27;287;287;377;2.82843;17.1172
2;5;30;381;381;471;4.24264;20.6155
2;5;29;476;476;566;5;20
2;5;6;574;574;664;8.94427;25.2982
2;5;32;670;670;760;6.32456;31.6228
2;5;33;762;762;852;2;33.5261
2;5;31;857;857;947;5.38516;33.541
2;5;35;952;952;1042;5;38.0789
2;5;37;1047;1047;1137;5.83095;39.2938
2;5;38;1139;1139;1229;2;41.2311
2;5;39;1234;1234;1324;5;40.3113
2;5;36;1329;1329;1419;5;35.3553
2;5;34;1422;1422;1512;3;32.3883
2;5;28;1522;1522;1612;10.7703;36.3456
2;5;26;1620;1620;1710;8.06226;34.176
2;5;23;1717;1717;1807;7.2111;30.5287
2;5;18;1816;1816;1906;9.05539;35.3553
2;5;19;1911;1911;2001;5;39.0513
2;5;16;2008;2008;2098;7.07107;40.3113
2;5;14;2100;2100;2190;2;39.3573
2;5;12;2193;2193;2283;3;38.0789
2;5;15;2290;2290;2380;7.07107;36.0555
2;5;17;2385;2385;2475;5.38516;33.3017
2;5;13;2479;2479;2569;4;30.8058
2;5;25;2578;2578;2668;9;24.0832
2;5;9;2675;2675;2765;7.2111;23.3238
2;5;11;2772;2772;2862;7.07107;19.6469
2;5;10;2865;2865;2955;3;16.763
2;5;8;2961;2961;3051;6.08276;11.6619
2;5;21;3056;3056;3146;5.65685;11.6619
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 588.493
[INFO] Cost func = 588.493
[DEBUG]  SOLUTION: 588.493 | 0 | {0, 0}
[test_data/solomon/r101.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 0
[INFO] Initial solution's total violated time: 2015
[INFO] Objective = 2173.37
[INFO] Cost func = 2173.37
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;0;65;49;51;61;49.9299;49.9299
0;0;34;83;117;127;22.2036;36.0555
0;0;35;137;143;153;10.198;41.0366
0;0;77;177;179;189;24.1661;19.6977
1;1;92;18;18;28;18.3848;18.3848
1;1;14;41;41;51;13.8924;32.0156
1;1;38;62;83;93;11.1803;42.4264
1;1;43;111;132;142;18.1108;34.176
1;1;100;157;185;195;15.8114;24.0416
2;2;36;41;41;51;41.4005;41.4005
2;2;47;58;58;68;7.2111;34.2053
2;2;49;80;108;118;12.1655;43.9318
2;2;48;135;165;175;17.4642;27.8029
2;2;58;209;209;219;34.7131;9.05539
3;3;2;18;50;60;18;18
3;3;61;84;84;94;24.0416;25.4951
3;3;6;108;108;118;14.3178;11.1803
3;3;93;127;188;198;9.21954;20.2485
4;4;42;25;31;41;25.4951;25.4951
4;4;98;51;58;68;10.2956;21.2603
4;4;44;78;78;88;10.6302;31.8904
4;4;37;98;134;144;10.8166;21.2132
4;4;91;149;160;170;5.09902;25.6125
5;5;45;29;32;42;29.1548;29.1548
5;5;46;52;117;127;10.7703;35.4683
5;5;17;145;157;167;18.2483;30.4138
6;6;63;34;34;44;34.9285;34.9285
6;6;30;59;71;81;15.8114;25.4951
6;6;66;96;127;137;15.8114;40.4969
6;6;70;157;182;192;20.8087;21.095
7;7;72;22;35;45;22.4722;22.4722
7;7;15;65;65;75;20.2485;30.4138
7;7;41;87;97;107;12.1655;28.8617
7;7;74;114;149;159;7.2111;24.5968
7;7;25;179;179;189;20.2485;33.541
8;8;59;17;18;28;17.8045;17.8045
8;8;5;36;36;46;8.48528;20.6155
8;8;84;50;101;111;4.12311;24.3311
8;8;60;117;162;172;6.7082;18.0278
8;8;89;181;181;191;9.05539;9
9;9;33;24;37;47;24.7588;24.7588
9;9;71;63;77;87;16.4924;39.6611
9;9;9;95;97;107;8.24621;32.0156
9;9;20;118;126;136;11.1803;31.6228
9;9;1;152;161;171;16.4924;15.2316
9;9;80;190;190;200;19.2094;21.095
10;10;28;6;39;49;6.32456;6.32456
10;10;12;58;63;73;9.21954;15
10;10;76;80;80;90;7.07107;15.6525
10;10;79;100;100;110;10;25.5539
10;10;3;113;116;126;3.60555;22.3607
10;10;24;140;153;163;14.1421;30
11;11;67;43;83;93;43.8634;43.8634
11;11;4;112;149;159;19.2094;25
12;12;83;21;44;54;21.095;21.095
12;12;82;64;64;74;10.0499;23.3238
12;12;7;79;81;91;5.83095;21.2132
12;12;8;103;103;113;12.2066;26.2488
12;12;96;133;135;145;20;15.2643
12;12;13;153;159;169;8.24621;11.1803
13;13;31;17;50;60;17.4642;17.4642
13;13;19;77;77;87;17.8885;32.0156
13;13;90;104;104;114;17.4642;32.249
13;13;10;121;124;134;7.07107;25.4951
13;13;32;144;144;154;10.2956;34
14;14;62;25;58;68;25.4951;25.4951
14;14;11;76;76;86;8.06226;33.541
14;14;50;118;124;134;32.45;16.9706
15;15;95;14;39;49;14.8661;14.8661
15;15;16;64;75;85;15.5242;29.1548
15;15;86;91;94;104;6.32456;35.3553
15;15;97;125;133;143;21.2132;17.2047
16;16;27;5;37;47;5;5
16;16;52;55;55;65;8.544;11.3137
16;16;88;74;74;84;9.05539;19.2354
16;16;18;97;97;107;13.4164;15.8114
17;17;39;33;44;54;33.9706;33.9706
17;17;21;71;71;81;17;18.0278
17;17;56;92;130;140;11.3137;29.2062
18;18;23;36;68;78;36.0555;36.0555
18;18;22;89;97;107;11.1803;26.9258
18;18;55;129;136;146;22.2036;30.4631
19;19;75;27;69;79;27.7849;27.7849
19;19;26;98;132;142;19.4165;11.1803
20;20;29;29;63;73;29.8329;29.8329
20;20;78;83;96;106;10.4403;31.0645
20;20;68;119;142;152;13.9284;21.3776
21;21;69;12;50;60;12.1655;12.1655
21;21;40;82;85;95;22.2036;11.1803
21;21;57;110;110;120;15.2643;23.1948
21;21;54;150;150;160;30.2324;22.8035
22;0;51;26;88;98;26.9258;26.9258
23;22;73;20;78;88;20.1246;20.1246
23;22;53;103;103;113;15.6525;4.47214
24;0;64;46;73;83;46.5188;46.5188
25;0;81;27;94;104;27.5862;27.5862
26;23;99;17;83;93;17.4929;17.4929
26;23;85;98;98;108;5.65685;23.0217
27;0;87;18;93;103;18.3848;18.3848
28;0;94;12;100;110;12.0416;12.0416
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 2357.51
[INFO] Cost func = 2357.51
[DEBUG]  SOLUTION: 2357.51 | 0 | {0, 0}
[test_data/solomon/r102.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 2105.24
[INFO] Cost func = 2105.24
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;0;7;21;21;31;21.2132;21.2132
0;0;62;39;58;68;8.94427;25.4951
0;0;88;74;74;84;6.32456;19.2354
0;0;10;92;124;134;8.94427;25.4951
0;0;31;142;142;152;8.06226;17.4642
0;0;70;159;182;192;7.2111;21.095
0;0;1;200;200;210;8.06226;15.2316
1;1;21;18;18;28;18.0278;18.0278
1;1;72;32;32;42;4.47214;22.4722
1;1;75;47;47;57;5.38516;27.7849
1;1;23;65;68;78;8.48528;36.0555
1;1;56;85;130;140;7.28011;29.2062
1;1;25;154;172;182;14.4222;33.541
1;1;12;203;203;213;21.2132;15
2;2;63;34;34;44;34.9285;34.9285
2;2;11;52;67;77;8.06226;33.541
2;2;49;91;108;118;14.3178;43.9318
2;2;48;135;135;145;17.4642;27.8029
2;2;82;150;150;160;5.38516;23.3238
2;2;83;170;170;180;10.0499;21.095
2;2;85;195;195;205;15.1327;23.0217
3;3;50;16;16;26;16.9706;16.9706
3;3;33;33;37;47;7.81025;24.7588
3;3;34;59;59;69;12.3693;36.0555
3;3;78;74;96;106;5;31.0645
3;3;35;119;143;153;13.153;41.0366
3;3;3;174;174;184;21.5407;22.3607
3;3;77;186;186;196;2.82843;19.6977
4;4;65;49;51;61;49.9299;49.9299
4;4;71;71;77;87;10.2956;39.6611
4;4;66;96;127;137;9.43398;40.4969
4;4;32;151;151;161;14.5602;34
4;4;52;188;188;198;27.2029;11.3137
5;5;92;18;18;28;18.3848;18.3848
5;5;100;33;185;195;5.65685;24.0416
5;5;59;201;201;211;6.7082;17.8045
6;6;45;29;32;42;29.1548;29.1548
6;6;18;56;87;97;14.1421;15.8114
6;6;46;116;117;127;19.6977;35.4683
6;6;91;158;158;168;31.7805;25.6125
6;6;95;179;179;189;11.1803;14.8661
6;6;93;196;196;206;7;20.2485
7;7;2;18;18;28;18;18
7;7;67;62;83;93;34.176;43.8634
7;7;4;112;149;159;19.2094;25
7;7;80;176;182;192;17.0294;21.095
7;7;26;205;205;215;13.0384;11.1803
8;8;37;21;21;31;21.2132;21.2132
8;8;42;39;39;49;8.94427;25.4951
8;8;44;62;69;79;13.153;31.8904
8;8;16;85;85;95;6.08276;29.1548
8;8;86;101;101;111;6.32456;35.3553
8;8;17;123;157;167;12.0416;30.4138
8;8;5;177;177;187;10;20.6155
8;8;98;196;196;206;9.84886;21.2603
9;9;94;12;12;22;12.0416;12.0416
9;9;87;31;93;103;9.21954;18.3848
9;9;13;110;159;169;7.28011;11.1803
9;9;96;177;177;187;8.24621;15.2643
9;9;58;201;201;211;14.0357;9.05539
10;10;27;5;37;47;5;5
10;10;61;75;76;86;28.0178;25.4951
10;10;6;100;100;110;14.3178;11.1803
10;10;60;118;162;172;8.94427;18.0278
10;10;89;181;181;191;9.05539;9
11;11;36;41;41;51;41.4005;41.4005
11;11;8;69;95;105;18.7883;26.2488
11;11;97;131;133;143;26.6271;17.2047
12;12;28;6;39;49;6.32456;6.32456
12;12;30;72;72;82;23.0217;25.4951
12;12;51;91;91;101;9.21954;26.9258
12;12;9;107;107;117;6.32456;32.0156
12;12;20;128;128;138;11.1803;31.6228
13;13;14;32;32;42;32.0156;32.0156
13;13;38;53;83;93;11.1803;42.4264
13;13;43;111;132;142;18.1108;34.176
14;14;15;30;61;71;30.4138;30.4138
14;14;41;83;97;107;12.1655;28.8617
14;14;74;114;149;159;7.2111;24.5968
15;15;47;34;51;61;34.2053;34.2053
15;15;19;69;76;86;8.06226;32.0156
15;15;68;132;142;152;46.0652;21.3776
16;16;39;33;44;54;33.9706;33.9706
16;16;22;69;97;107;15.1327;26.9258
16;16;55;129;136;146;22.2036;30.4631
17;17;29;29;63;73;29.8329;29.8329
17;17;24;80;153;163;7.07107;30
18;18;69;12;50;60;12.1655;12.1655
18;18;40;82;85;95;22.2036;11.1803
18;18;57;110;110;120;15.2643;23.1948
18;18;54;150;150;160;30.2324;22.8035
19;19;73;20;78;88;20.1246;20.1246
19;19;53;103;103;113;15.6525;4.47214
20;20;64;46;73;83;46.5188;46.5188
20;20;90;101;101;111;18.868;32.249
21;21;76;15;73;83;15.6525;15.6525
21;21;79;93;93;103;10;25.5539
22;0;81;27;94;104;27.5862;27.5862
23;22;99;17;83;93;17.4929;17.4929
23;22;84;103;103;113;10.2956;24.3311
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 2105.24
[INFO] Cost func = 2105.24
[DEBUG]  SOLUTION: 2105.24 | 0 | {0, 0}
[test_data/solomon/r103.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1695.52
[INFO] Cost func = 1695.52
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;0;52;11;11;21;11.3137;11.3137
0;0;18;28;28;38;7.61577;15.8114
0;0;83;44;44;54;6.7082;21.095
0;0;60;58;58;68;4.24264;18.0278
0;0;5;72;72;82;4.47214;20.6155
0;0;6;92;99;109;10;11.1803
0;0;96;113;113;123;4.24264;15.2643
0;0;94;127;127;137;4;12.0416
0;0;95;140;140;150;3.16228;14.8661
0;0;97;153;153;163;3;17.2047
0;0;13;169;169;179;6.40312;11.1803
0;0;2;188;188;198;9.43398;18
0;0;58;207;207;217;9.05539;9.05539
1;1;50;16;16;26;16.9706;16.9706
1;1;1;32;32;42;6.32456;15.2316
1;1;69;46;50;60;4.47214;12.1655
1;1;31;67;67;77;7.81025;17.4642
1;1;88;82;82;92;5;19.2354
1;1;7;98;98;108;6.32456;21.2132
1;1;82;113;113;123;5.83095;23.3238
1;1;61;146;146;156;23.1948;25.4951
1;1;85;160;160;170;4.47214;23.0217
1;1;98;173;173;183;3.16228;21.2603
1;1;37;184;184;194;1.41421;21.2132
1;1;59;198;198;208;4.12311;17.8045
2;2;90;32;32;42;32.249;32.249
2;2;76;72;73;83;30.8058;15.6525
2;2;79;93;93;103;10;25.5539
2;2;3;106;106;116;3.60555;22.3607
2;2;77;118;179;189;2.82843;19.6977
2;2;12;197;197;207;8.544;15
3;3;92;18;18;28;18.3848;18.3848
3;3;16;40;40;50;12.1655;29.1548
3;3;86;56;56;66;6.32456;35.3553
3;3;91;77;77;87;11.0454;25.6125
3;3;87;100;100;110;13.0384;18.3848
3;3;57;117;117;127;7.2111;23.1948
3;3;73;140;140;150;13;20.1246
3;3;74;154;154;164;4.47214;24.5968
3;3;75;167;167;177;3.60555;27.7849
3;3;72;182;182;192;5.38516;22.4722
3;3;21;196;196;206;4.47214;18.0278
4;4;33;24;37;47;24.7588;24.7588
4;4;51;54;54;64;7.2111;26.9258
4;4;30;73;73;83;9.21954;25.4951
4;4;32;93;93;103;10.2956;34
4;4;63;111;111;121;8;34.9285
4;4;10;130;130;140;9.48683;25.4951
4;4;70;148;182;192;8.06226;21.095
5;5;42;25;31;41;25.4951;25.4951
5;5;14;50;50;60;9.21954;32.0156
5;5;99;76;83;93;16.763;17.4929
5;5;84;103;103;113;10.2956;24.3311
5;5;46;132;132;142;19.2354;35.4683
5;5;47;152;152;162;10;34.2053
5;5;19;170;170;180;8.06226;32.0156
5;5;48;188;188;198;8.24621;27.8029
6;6;45;29;32;42;29.1548;29.1548
6;6;17;50;157;167;8.06226;30.4138
6;6;93;181;188;198;14.3178;20.2485
7;7;20;31;31;41;31.6228;31.6228
7;7;81;55;55;65;14.8661;27.5862
7;7;34;75;75;85;10.0499;36.0555
7;7;78;90;96;106;5;31.0645
7;7;29;116;116;126;10.4403;29.8329
7;7;68;134;142;152;8.544;21.3776
7;7;24;161;161;171;9.84886;30
7;7;80;180;182;192;9.21954;21.095
8;8;43;34;34;44;34.176;34.176
8;8;15;51;61;71;7.28011;30.4138
8;8;22;86;97;107;15.8114;26.9258
8;8;56;115;130;140;8.24621;29.2062
8;8;4;148;149;159;8.24621;25
8;8;25;169;172;182;10;33.541
8;8;54;194;194;204;12.0416;22.8035
9;9;44;31;69;79;31.8904;31.8904
9;9;38;89;89;99;10.8166;42.4264
9;9;100;117;185;195;18.3848;24.0416
10;10;62;25;58;68;25.4951;25.4951
10;10;8;88;95;105;20.5183;26.2488
11;11;23;36;68;78;36.0555;36.0555
11;11;41;91;97;107;13.153;28.8617
12;12;89;9;9;19;9;9
12;12;27;29;37;47;10.2956;5
12;12;28;53;53;63;6.7082;6.32456
12;12;26;71;71;81;8.06226;11.1803
12;12;40;88;88;98;7.07107;11.1803
12;12;53;104;104;114;6.7082;4.47214
13;13;71;39;39;49;39.6611;39.6611
13;13;65;59;59;69;10.2956;49.9299
13;13;9;87;97;107;18.3848;32.0156
14;14;36;41;41;51;41.4005;41.4005
14;14;11;69;69;79;18.6815;33.541
14;14;66;109;127;137;30.0832;40.4969
14;14;35;153;153;163;16.1245;41.0366
15;15;64;46;73;83;46.5188;46.5188
15;15;49;95;108;118;12.7279;43.9318
16;24;39;33;44;54;33.9706;33.9706
16;24;67;63;83;93;9.89949;43.8634
16;24;55;111;136;146;18.4391;30.4631
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 1695.52
[INFO] Cost func = 1695.52
[DEBUG]  SOLUTION: 1695.52 | 0 | {0, 0}
[test_data/solomon/r104.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1385.11
